지점,시간,평균 이산화탄소(CO2) 배경대기농도(ppm),평균 메탄(CH4) 배경대기농도(ppm),평균 아산화질소(N2O) 배경대기농도(ppm),평균 염화불화탄소11(CFC11) 배경대기농도(ppm),평균 염화불화탄소12(CFC12) 배경대기농도(ppm),평균 염화불화탄소113(CFC113) 배경대기농도(ppm),평균 육불화황(SF6) 배경대기농도(ppm)
안면도(감)(132),Jan-99,373.1,,,,,,
안면도(감)(132),Feb-99,374,,315.2,266.9,534.1,,
안면도(감)(132),Mar-99,374.9,,314.6,267.5,535.1,,
안면도(감)(132),Apr-99,375.1,1869,314.2,266.7,534.7,,
안면도(감)(132),May-99,374,1863,314.6,268.6,535.1,,
안면도(감)(132),Jun-99,370.8,1851,315.6,269.1,533.7,,
안면도(감)(132),Jul-99,366.6,1844,316.3,268.6,533.7,,
안면도(감)(132),Aug-99,363.8,1837,316.4,267.9,538.6,,
안면도(감)(132),Sep-99,365.3,1865,314,267.4,537.1,,
안면도(감)(132),Oct-99,370,1888,312.1,269.8,538.2,,
안면도(감)(132),Nov-99,372.8,1864,313.7,267.6,537.9,,
안면도(감)(132),Dec-99,373.8,1868,313.8,265.8,537.4,,
안면도(감)(132),Jan-00,375.3,1864,312.6,266.5,537.4,,
안면도(감)(132),Feb-00,376.3,1878,313.4,265.8,539.4,,
안면도(감)(132),Mar-00,377.1,1888,313.6,264.3,539.2,,
안면도(감)(132),Apr-00,377.6,1875,314.1,265.5,539.4,,
안면도(감)(132),May-00,375.8,1859,315.4,266.9,540.2,,
안면도(감)(132),Jun-00,372.1,1840,315.4,267.4,538.5,,
안면도(감)(132),Jul-00,368.1,1827,315,270.3,538.2,,
안면도(감)(132),Aug-00,365.7,1819,314.5,270.7,,,
안면도(감)(132),Sep-00,367.5,1859,314.9,267.6,538.6,,
안면도(감)(132),Oct-00,372,1868,316.3,265.7,540.3,,
안면도(감)(132),Nov-00,375.2,,316.5,265.6,539.5,,
안면도(감)(132),Dec-00,376.7,,316.5,265.4,537.8,,
안면도(감)(132),Jan-01,377.8,,315.8,266,538.9,,
안면도(감)(132),Feb-01,378.8,,314.3,266.5,537.7,,
안면도(감)(132),Mar-01,379.5,,314.3,265.3,539.4,,
안면도(감)(132),Apr-01,379.8,,315.3,266.2,539.1,,
안면도(감)(132),May-01,378.8,1841,316,265.8,541.9,,
안면도(감)(132),Jun-01,375.2,1850,317,263.9,537.7,,
안면도(감)(132),Jul-01,370.2,1809,317.3,264.2,540.4,,
안면도(감)(132),Aug-01,367.8,1838,316.6,267.4,541.9,,
안면도(감)(132),Sep-01,369.7,1874,315.7,264.9,538.8,,
안면도(감)(132),Oct-01,374.2,1874,315.7,263.7,541.8,,
안면도(감)(132),Nov-01,377.6,1861,316.7,262.5,541.4,,
안면도(감)(132),Dec-01,378.3,1864,317.6,262.8,540,,
안면도(감)(132),Jan-02,379.4,1877,317.8,262.6,541.3,,
안면도(감)(132),Feb-02,380.5,1875,317.7,262.7,540.1,,
안면도(감)(132),Mar-02,380.6,1868,317.7,263.6,541.6,,
안면도(감)(132),Apr-02,381,1864,318.3,264.5,544,,
안면도(감)(132),May-02,380.3,1863,318.8,265.7,542.7,,
안면도(감)(132),Jun-02,376.9,1858,319,266.1,543.1,,
안면도(감)(132),Jul-02,372.7,1825,318.9,267,543.5,,
안면도(감)(132),Aug-02,369.9,1826,318.2,265.7,543.5,,
안면도(감)(132),Sep-02,371.8,1869,318,266.4,544.5,,
안면도(감)(132),Oct-02,376.9,1871,318,261.5,543.6,,
안면도(감)(132),Nov-02,380,1870,318.3,260.2,543.7,,
안면도(감)(132),Dec-02,380.9,1876,319,261.3,544.4,,
안면도(감)(132),Jan-03,381.9,1895,318.5,256.7,541.3,,
안면도(감)(132),Feb-03,382.9,,318.7,257.6,540.1,,
안면도(감)(132),Mar-03,384.1,,320.2,254.2,540.8,,
안면도(감)(132),Apr-03,384.7,,320.2,261,540.2,,
안면도(감)(132),May-03,383.2,,,262.2,,,
안면도(감)(132),Jun-03,379.4,1865,,260.6,538.4,,
안면도(감)(132),Jul-03,374.7,1869,,260.5,541.8,,
안면도(감)(132),Aug-03,372.1,1831,,260,540.9,,
안면도(감)(132),Sep-03,374,,,260.2,541.1,,
안면도(감)(132),Oct-03,378.6,,,259.4,541.6,,
안면도(감)(132),Nov-03,381.4,1888,,259.1,540,,
안면도(감)(132),Dec-03,382.3,1898,,258.2,529,,
안면도(감)(132),Jan-04,384.1,,,258,530.5,,
안면도(감)(132),Feb-04,385.6,,,,532.3,,
안면도(감)(132),Mar-04,385.9,,,,538.9,,
안면도(감)(132),Apr-04,386.2,,,258.2,,,
안면도(감)(132),May-04,384.9,,,258.9,537.4,,
안면도(감)(132),Jun-04,381.4,,,258.6,539.8,,
안면도(감)(132),Jul-04,376.9,,,255.5,539.2,,
안면도(감)(132),Aug-04,374.1,,,256.3,539.6,,
안면도(감)(132),Sep-04,376.1,1870,,257.6,539.5,,
안면도(감)(132),Oct-04,380.8,,,262,540.3,,
안면도(감)(132),Nov-04,383.7,1873,,265,541.5,,
안면도(감)(132),Dec-04,385.4,1873,,263.1,538.9,,
안면도(감)(132),Jan-05,386.6,1871,,264.4,540.5,,
안면도(감)(132),Feb-05,387.5,1866,,264.3,540.1,,
안면도(감)(132),Mar-05,388.2,1874,,261,540.8,,
안면도(감)(132),Apr-05,387.9,1865,,265.1,539.8,,
안면도(감)(132),May-05,387,1860,,266.2,539.8,,
안면도(감)(132),Jun-05,384,1859,,265.4,542.1,,
안면도(감)(132),Jul-05,378.9,1812,,265.1,,,
안면도(감)(132),Aug-05,376.3,1823,,263.5,542.4,,
안면도(감)(132),Sep-05,378.3,1862,,265.5,539.7,,
안면도(감)(132),Oct-05,382.7,,,264.9,541.1,,
안면도(감)(132),Nov-05,386.3,,,266.3,538.9,,
안면도(감)(132),Dec-05,387.5,,,,541,,
안면도(감)(132),Jan-06,388.3,1857,,,537.3,,
안면도(감)(132),Feb-06,389.1,1862,,,539,,
안면도(감)(132),Mar-06,390,1857,,,540.4,,
안면도(감)(132),Apr-06,391,1848,,,540.6,,
안면도(감)(132),May-06,389.9,1870,,,540.6,,
안면도(감)(132),Jun-06,386.4,1881,,,,,
안면도(감)(132),Jul-06,381.8,1832,,265.9,540.9,,
안면도(감)(132),Aug-06,378.6,1813,321.1,265.4,,,
안면도(감)(132),Sep-06,380.6,1881,321.8,256.6,523,,
안면도(감)(132),Oct-06,385.2,1901,321.7,243.9,511,,
