노선명,역ID,역명,승차총승객수,하차총승객수
경춘선,1320,대성리,277,204
수인선,1889,숭의,1085,1063
수인선,1890,신포,503,540
수인선,1891,인천,398,565
안산선,1751,산본,5160,5448
안산선,1752,대야미,1768,1594
안산선,1753,반월,1431,1415
안산선,1754,상록수,6039,5868
안산선,1755,한대앞,2454,2423
안산선,1756,중앙,5480,5460
안산선,1757,고잔,2130,2144
안산선,1758,초지,1085,1085
안산선,1759,안산,4410,4035
안산선,1760,신길온천,513,502
안산선,1761,정왕,2283,2472
안산선,1762,오이도,2714,2727
안산선,1763,수리산,1171,1141
우이신설선,4701,북한산우이,1713,1750
우이신설선,4702,솔밭공원,911,794
우이신설선,4703,4.19민주묘지,1096,961
우이신설선,4704,가오리,1444,1300
우이신설선,4709,북한산보국문,2177,1932
우이신설선,4710,정릉,1454,1253
우이신설선,4711,성신여대입구(돈암),1170,1388
우이신설선,4712,보문,564,542
우이신설선,4713,신설동,636,646
일산선,1948,원흥,2584,2414
일산선,1950,삼송,5161,5066
일산선,1951,원당,3408,3343
일산선,1952,화정,5155,5235
일산선,1953,대곡,537,439
일산선,1954,백석,3304,3253
일산선,1955,마두,1734,1745
일산선,1956,정발산,2429,2396
일산선,1957,주엽,2072,2050
일산선,1958,대화,3565,3228
장항선,1401,봉명,260,233
장항선,1402,쌍용(나사렛대),447,414
장항선,1403,아산,727,624
장항선,1405,배방,255,309
장항선,1407,온양온천,1143,1144
장항선,1408,신창(순천향대),272,346
중앙선,1015,회기,8348,8131
중앙선,1201,중랑,1996,1895
중앙선,1202,상봉(시외버스터미널),2325,2272
중앙선,1203,망우,2655,2562
중앙선,1204,양원,463,512
중앙선,1205,구리,4165,4442
중앙선,1206,도농,2446,2403
중앙선,1207,양정,236,214
중앙선,1208,덕소,1988,1905
중앙선,1209,도심,763,672
중앙선,1210,팔당,781,880
중앙선,1211,운길산,627,574
중앙선,1212,양수,830,783
중앙선,1213,신원,152,68
중앙선,1214,국수,305,316
중앙선,1215,아신,270,237
중앙선,1216,오빈,119,114
중앙선,1217,양평,998,930
중앙선,1218,원덕,202,157
중앙선,1219,용문,896,761
중앙선,1220,지평,29,12
2호선,220,선릉,7177,6250
경원선,1904,망월사,2484,2660
경원선,1903,도봉산,5178,3544
경원선,1017,신이문,2904,2641
우이신설선,4705,화계,1180,1075
우이신설선,4706,삼양,751,815
우이신설선,4707,삼양사거리,903,896
우이신설선,4708,솔샘,1516,1342
1호선,150,서울역,10457,10389
1호선,151,시청,3980,3937
1호선,152,종각,6357,5849
1호선,153,종로3가,6818,6361
1호선,154,종로5가,3942,4019
1호선,155,동대문,4304,5054
1호선,156,신설동,4440,4297
1호선,157,제기동,5161,5324
1호선,158,청량리(서울시립대입구),7727,7722
1호선,159,동묘앞,5954,6020
2호선,201,시청,2605,2428
2호선,202,을지로입구,9489,9376
2호선,203,을지로3가,2696,2576
2호선,204,을지로4가,1605,1551
2호선,205,동대문역사문화공원,3874,5007
2호선,206,신당,4638,4980
2호선,207,상왕십리,3732,3597
2호선,208,왕십리(성동구청),5604,4890
2호선,209,한양대,1400,1522
2호선,210,뚝섬,4589,4734
2호선,211,성수,6229,6863
2호선,212,건대입구,14248,15128
2호선,213,구의(광진구청),7043,6879
2호선,214,강변(동서울터미널),11916,12013
2호선,215,잠실나루,2731,2821
2호선,216,잠실(송파구청),23040,21563
2호선,217,잠실새내,5696,5947
2호선,218,종합운동장,1760,1930
2호선,219,삼성(무역센터),10789,10811
2호선,221,역삼,6621,7384
2호선,222,강남,18405,18248
2호선,223,교대(법원.검찰청),5715,6306
2호선,224,서초,3525,3388
2호선,225,방배,3479,3776
2호선,226,사당,11385,12516
2호선,227,낙성대,8920,8771
2호선,228,서울대입구(관악구청),16342,16571
2호선,229,봉천,7468,7066
2호선,230,신림,24142,23183
2호선,231,신대방,9278,8820
2호선,232,구로디지털단지,15018,14672
2호선,233,대림(구로구청),8153,8090
2호선,234,신도림,16094,16427
2호선,235,문래,4055,4150
2호선,236,영등포구청,4755,4978
2호선,237,당산,4878,5372
2호선,238,합정,10559,10981
2호선,239,홍대입구,23021,22176
2호선,240,신촌,13209,12939
2호선,241,이대,3808,3890
2호선,242,아현,2666,2659
2호선,243,충정로(경기대입구),2177,2223
2호선,244,용답,899,894
2호선,245,신답,389,468
2호선,246,신설동,1392,1539
2호선,247,도림천,281,274
2호선,248,양천구청,1684,1682
2호선,249,신정네거리,2572,2667
2호선,250,용두(동대문구청),685,756
3호선,309,지축,737,666
3호선,310,구파발,5803,5891
3호선,311,연신내,12998,12125
3호선,312,불광,5821,6725
3호선,313,녹번,3547,3200
3호선,314,홍제,5396,5053
3호선,315,무악재,1014,1060
3호선,316,독립문,2340,2372
3호선,317,경복궁(정부서울청사),4276,4402
3호선,318,안국,3667,3953
3호선,319,종로3가,1669,2097
3호선,320,을지로3가,1206,1219
3호선,322,동대입구,2782,3102
3호선,323,약수,3870,3623
3호선,324,금호,2418,2336
3호선,325,옥수,2619,2777
3호선,326,압구정,7036,7402
3호선,327,신사,7621,7555
3호선,328,잠원,1271,1258
3호선,329,고속터미널,16392,16095
3호선,330,교대(법원.검찰청),2079,1420
3호선,331,남부터미널(예술의전당),7120,7615
3호선,332,양재(서초구청),6575,7783
3호선,333,매봉,1896,1874
3호선,334,도곡,941,1010
3호선,335,대치,2146,2049
3호선,336,학여울,395,401
3호선,337,대청,2063,1940
3호선,338,일원,1580,1805
3호선,339,수서,4231,4301
3호선,340,가락시장,2058,2208
3호선,341,경찰병원,1463,1451
3호선,342,오금,1472,1378
4호선,409,당고개,4855,4619
4호선,410,상계,6338,5858
4호선,411,노원,7022,7641
4호선,412,창동,9373,9874
4호선,413,쌍문,10227,9018
4호선,414,수유(강북구청),13256,12548
4호선,415,미아(서울사이버대학),5252,4841
4호선,416,미아사거리,10365,9700
4호선,417,길음,5804,5619
4호선,418,성신여대입구(돈암),7370,7074
4호선,419,한성대입구(삼선교),4379,4212
4호선,420,혜화,11562,12243
4호선,421,동대문,3242,3984
4호선,422,동대문역사문화공원,4931,5349
4호선,423,충무로,4493,4461
4호선,424,명동,6157,6485
4호선,425,회현(남대문시장),4755,5158
4호선,426,서울역,2446,4081
4호선,427,숙대입구(갈월),3745,3682
4호선,428,삼각지,999,1200
4호선,429,신용산,3571,3721
