지점,시간,CO2_ppm,CH4_ppm,N2O_ppm,CFC11_ppm,CFC12_ppm,CFC113_ppm,SF6_ppm
안면도,1999-01,373.1,,,,,,
안면도,1999-02,374,,315.2,266.9,534.1,,
안면도,1999-03,374.9,,314.6,267.5,535.1,,
안면도,1999-04,375.1,1869,314.2,266.7,534.7,,
안면도,1999-05,374,1863,314.6,268.6,535.1,,
안면도,1999-06,370.8,1851,315.6,269.1,533.7,,
안면도,1999-07,366.6,1844,316.3,268.6,533.7,,
안면도,1999-08,363.8,1837,316.4,267.9,538.6,,
안면도,1999-09,365.3,1865,314,267.4,537.1,,
안면도,1999-10,370,1888,312.1,269.8,538.2,,
안면도,1999-11,372.8,1864,313.7,267.6,537.9,,
안면도,1999-12,373.8,1868,313.8,265.8,537.4,,
안면도,2000-01,375.3,1864,312.6,266.5,537.4,,
안면도,2000-02,376.3,1878,313.4,265.8,539.4,,
안면도,2000-03,377.1,1888,313.6,264.3,539.2,,
안면도,2000-04,377.6,1875,314.1,265.5,539.4,,
안면도,2000-05,375.8,1859,315.4,266.9,540.2,,
안면도,2000-06,372.1,1840,315.4,267.4,538.5,,
안면도,2000-07,368.1,1827,315,270.3,538.2,,
안면도,2000-08,365.7,1819,314.5,270.7,,,
안면도,2000-09,367.5,1859,314.9,267.6,538.6,,
안면도,2000-10,372,1868,316.3,265.7,540.3,,
안면도,2000-11,375.2,,316.5,265.6,539.5,,
안면도,2000-12,376.7,,316.5,265.4,537.8,,
안면도,2020-01,377.8,,315.8,266,538.9,,
안면도,2020-02,378.8,,314.3,266.5,537.7,,
안면도,2020-03,379.5,,314.3,265.3,539.4,,
안면도,2020-04,379.8,,315.3,266.2,539.1,,
안면도,2020-05,378.8,1841,316,265.8,541.9,,
안면도,2020-06,375.2,1850,317,263.9,537.7,,
안면도,2020-07,370.2,1809,317.3,264.2,540.4,,
안면도,2020-08,367.8,1838,316.6,267.4,541.9,,
안면도,2020-09,369.7,1874,315.7,264.9,538.8,,
안면도,2020-10,374.2,1874,315.7,263.7,541.8,,
안면도,2020-11,377.6,1861,316.7,262.5,541.4,,
안면도,2020-12,378.3,1864,317.6,262.8,540,,
안면도,2020-01,379.4,1877,317.8,262.6,541.3,,
안면도,2020-02,380.5,1875,317.7,262.7,540.1,,
안면도,2020-03,380.6,1868,317.7,263.6,541.6,,
안면도,2020-04,381,1864,318.3,264.5,544,,
안면도,2020-05,380.3,1863,318.8,265.7,542.7,,
안면도,2020-06,376.9,1858,319,266.1,543.1,,
안면도,2020-07,372.7,1825,318.9,267,543.5,,
안면도,2020-08,369.9,1826,318.2,265.7,543.5,,
안면도,2020-09,371.8,1869,318,266.4,544.5,,
안면도,2020-10,376.9,1871,318,261.5,543.6,,
안면도,2020-11,380,1870,318.3,260.2,543.7,,
안면도,2020-12,380.9,1876,319,261.3,544.4,,
안면도,2020-01,381.9,1895,318.5,256.7,541.3,,
안면도,2020-02,382.9,,318.7,257.6,540.1,,
안면도,2020-03,384.1,,320.2,254.2,540.8,,
안면도,2020-04,384.7,,320.2,261,540.2,,
안면도,2020-05,383.2,,,262.2,,,
안면도,2020-06,379.4,1865,,260.6,538.4,,
안면도,2020-07,374.7,1869,,260.5,541.8,,
안면도,2020-08,372.1,1831,,260,540.9,,
안면도,2020-09,374,,,260.2,541.1,,
