"순위","역명","일평균"
"1","강남","100672"
"2","잠실(2)","88971"
"3","홍대입구","78563"
"4","신림","70558"
"5","구로디지털단지","62463"
"6","신도림","61142"
"7","고속터미널(3)","60943"
"8","서울역(1)","58795"
"9","삼성","56078"
"10","선릉","53242"
"11","서울대입구","52856"
"12","신촌","49724"
"13","을지로입구","48836"
"14","강변","48327"
"15","종각","45507"
"16","건대입구(2)","44952"
"17","역삼","44784"
"18","수유","43763"
"19","연신내(3)","42870"
"20","혜화","42721"
"21","사당(2)","42107"
"22","양재","40045"
"23","명동","39979"
"24","가산디지털단지(7)","38762"
"25","광화문","36837"
"26","교대(2)","36211"
"27","종로3가(1)","35390"
"28","남부터미널","35280"
"29","쌍문","33859"
"30","압구정","33833"
"31","합정(2)","32908"
"32","미아사거리","32227"
"33","충무로(4)","32077"
"34","신사","30594"
"35","낙성대","30518"
"36","대림(2)","30484"
"37","회현","30409"
"38","까치산(5)","30060"
"39","창동","29911"
"40","사당(4)","29797"
"41","화곡","29603"
"42","신대방","28713"
"43","청량리","27930"
"44","광명사거리","27101"
"45","잠실새내","26566"
"46","길음","26406"
"47","성신여대입구","26388"
"48","종로5가","26335"
"49","성수","26206"
"50","안국","26084"
"51","동대문(4)","25363"
"52","경복궁","25109"
"53","오목교","25071"
"54","시청(1)","25062"
"55","철산","24360"
"56","시청(2)","24049"
"57","구의","23547"
"58","동대문역사문화공원(4)","23443"
"59","봉천","23377"
"60","노원(4)","23103"
"61","여의도(5)","22526"
"62","서초","22442"
"63","이수(총신대입구)","22045"
"64","상계","21903"
"65","영등포구청(2)","21552"
"66","고속터미널(7)","21366"
"67","당산","21355"
"68","노원(7)","21038"
"69","학동","20875"
"70","천호(5)","20798"
"71","방배","20638"
"72","구파발","20391"
"73","하계","20391"
"74","청담","20207"
"75","홍제","20165"
"76","이대","20163"
"77","왕십리(2)","20142"
"78","을지로3가(2)","20093"
"79","제기동","19994"
"80","불광(3)","19607"
"81","강동","19356"
"82","동대문역사문화공원(2)","19184"
"83","논현","19019"
"84","미아","18810"
"85","문래","18809"
"86","천호(8)","18681"
"87","장한평","18642"
"88","목동","18456"
"89","암사","18130"
"90","응암","17947"
"91","공덕(6)","17709"
"92","수서","17524"
"93","이태원","17459"
"94","잠실나루","17431"
"95","상봉(7)","17283"
"96","서대문","17045"
"97","숙대입구","16981"
"98","장지","16962"
"99","이수(7)","16927"
"100","답십리","16916"
"101","건대입구(7)","16838"
"102","한성대입구","16759"
"103","뚝섬","16462"
"104","어린이대공원","16386"
"105","신대방삼거리","16237"
"106","면목","16128"
"107","남구로","15987"
"108","사가정","15936"
"109","중계","15891"
"110","신설동(1)","15870"
"111","종합운동장","15869"
"112","우장산","15688"
"113","동대문(1)","15660"
"114","숭실대입구","15328"
"115","아차산","15273"
"116","신당(2)","15149"
"117","합정(6)","14951"
"118","남한산성입구","14575"
"119","교대(3)","14568"
"120","신정","14550"
"121","군자(7)","14547"
"122","강남구청","14544"
"123","종로3가(5)","14476"
"124","광나루","14433"
"125","약수(3)","14386"
"126","신중동","14340"
"127","상동","14316"
"128","수락산","14312"
"129","내방","14204"
"130","디지털미디어시티(6)","14175"
"131","발산","14156"
"132","마포","13948"
"133","잠실(8)","13912"
"134","새절","13859"
"135","마포구청","13801"
"136","안암","13754"
"137","망원","13681"
"138","당고개","13649"
