행정구역,총인구수,세대수,세대당인구수,남자인구수,여자인구수,남여비율
서울특별시,9726787,4361645,2.23,4737843,4988944,0.95
부산광역시,3408347,1507504,2.26,1671199,1737148,0.96
대구광역시,2431523,1041932,2.33,1200899,1230624,0.98
인천광역시,2950972,1246255,2.37,1478916,1472056,1
광주광역시,1456096,622374,2.34,720536,735560,0.98
대전광역시,1471650,640500,2.3,734902,736748,1
울산광역시,1144098,471153,2.43,587902,556196,1.06
세종특별자치시,345216,137500,2.51,172176,173040,1
경기도,13311254,5529263,2.41,6696531,6614723,1.01
강원도,1537780,722573,2.13,773468,764312,1.01
충청북도,1596613,726381,2.2,809005,787608,1.03
충청남도,2118457,964860,2.2,1080256,1038201,1.04
전라북도,1811619,821517,2.21,900628,910991,0.99
전라남도,1857083,877388,2.12,932970,924113,1.01
경상북도,2651054,1235801,2.15,1334981,1316073,1.01
경상남도,3353380,1461207,2.29,1688178,1665202,1.01
제주특별자치도,670595,295387,2.27,337119,333476,1.01
