지점,일시,평균오존전량(DU)
132,2013-02,322
132,2013-03,340
132,2013-04,329
132,2013-05,347
132,2013-06,325
132,2013-07,299
132,2013-08,301
132,2013-09,300
132,2013-10,279
132,2013-11,307
132,2013-12,331
132,2014-01,327
132,2014-02,348
132,2014-03,361
132,2014-04,344
132,2014-05,346
132,2014-06,338
132,2014-07,305
132,2014-08,297
132,2014-09,293
132,2014-10,283
132,2014-11,294
132,2014-12,333
132,2015-01,329
132,2015-02,379
132,2015-03,381
132,2015-04,361
132,2015-05,342
132,2015-06,339
132,2015-07,308
132,2015-08,304
